,vector,Fitnes
0,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
1,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
2,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
3,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
4,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
5,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
6,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
7,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
8,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
9,[0.394      0.12       0.232      0.256      0.33333333],0.3333333333333333
